"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"Asara Girls Hostel","3.5","6","Hostel","38, hanuman nagar","Open ⋅ Closes 9 pm","","{""latitude"":""21.2344141"",""longitude"":""81.6404824""}","https://www.google.com/maps/place/Asara+Girls+Hostel/data=!4m7!3m6!1s0x3a28dde2da2ef9c1:0x2697fb8043da68a!8m2!3d21.2344141!4d81.6404824!16s%2Fg%2F11g4cycjqz!19sChIJwfku2uLdKDoRiqY9BLh_aQI?authuser=0&hl=en&rclk=1","0x3a28dde2da2ef9c1:0x2697fb8043da68a",
"Patel Girls Hostel",,,"Hostel","6JFJ+C4Q","099812 01199","","{""latitude"":""21.2235883"",""longitude"":""81.6303467""}","https://www.google.com/maps/place/Patel+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddb4707c1235:0x98f1b1e6aa5846ce!8m2!3d21.2235883!4d81.6303467!16s%2Fg%2F11sbr0g0y9!19sChIJNRJ8cLTdKDoRzkZYquax8Zg?authuser=0&hl=en&rclk=1","0x3a28ddb4707c1235:0x98f1b1e6aa5846ce",
"Samriddhi Girls PG/HOSTEL","4.2","28","Girl's Hostel","6M82+HJV","098065 92935","","{""latitude"":""21.216497"",""longitude"":""81.6515485""}","https://www.google.com/maps/place/Samriddhi+Girls+PG%2FHOSTEL/data=!4m7!3m6!1s0x3a28dcf8f0000001:0xb7ce5a891e6926af!8m2!3d21.216497!4d81.6515485!16s%2Fg%2F11g8g103pb!19sChIJAQAA8PjcKDoRryZpHolazrc?authuser=0&hl=en&rclk=1","0x3a28dcf8f0000001:0xb7ce5a891e6926af",
"Matri chaya PG / Hostel","1.0","1","Boy's Hostel","Tarun ji, Matri Chaya Building, Jalvihar Colony Rd, behind Horizon Hospital",,"","{""latitude"":""21.2371398"",""longitude"":""81.6555545""}","https://www.google.com/maps/place/Matri+chaya+PG+%2F+Hostel/data=!4m7!3m6!1s0x3a28dd147d185b15:0xc5fb2f8f3bbe9dde!8m2!3d21.2371398!4d81.6555545!16s%2Fg%2F11rvhnzcd6!19sChIJFVsYfRTdKDoR3p2-O48v-8U?authuser=0&hl=en&rclk=1","0x3a28dd147d185b15:0xc5fb2f8f3bbe9dde",
"Darshan Boys Hostel (PG For Boys)","4.7","29","Boy's Hostel","opposite C-3/A","Open 24 hours  075872 90053","""Please be aware of buying things if you're new to this area.""","{""latitude"":""21.2416583"",""longitude"":""81.6670316""}","https://www.google.com/maps/place/Darshan+Boys+Hostel+%28PG+For+Boys%29/data=!4m7!3m6!1s0x3a28dd7c88c32723:0x6fcbdc6127b057ee!8m2!3d21.2416583!4d81.6670316!16s%2Fg%2F11tcc7kx28!19sChIJIyfDiHzdKDoR7lewJ2Hcy28?authuser=0&hl=en&rclk=1","0x3a28dd7c88c32723:0x6fcbdc6127b057ee",
"MAHAK GIRLS HOSTEL","3.8","13","Girl's Hostel","Kalibadi Chwok, Hanuman Colony , Near rising sun school, House No.12/13","Open 24 hours  099819 97255","","{""latitude"":""21.2339909"",""longitude"":""81.6404454""}","https://www.google.com/maps/place/MAHAK+GIRLS+HOSTEL/data=!4m7!3m6!1s0x3a28dd7f16ca2199:0x15d882de268b4df9!8m2!3d21.2339909!4d81.6404454!16s%2Fg%2F11gnrx_pk2!19sChIJmSHKFn_dKDoR-U2LJt6C2BU?authuser=0&hl=en&rclk=1","0x3a28dd7f16ca2199:0x15d882de268b4df9",
"Aashray Hostel","3.7","33","Boy's Hostel","behind pujari school",,"""and the hostel is located in center of the city.""","{""latitude"":""21.2478724"",""longitude"":""81.6495297""}","https://www.google.com/maps/place/Aashray+Hostel/data=!4m7!3m6!1s0x3a28dd75a948f885:0xf2c6462d9bd49c7d!8m2!3d21.2478724!4d81.6495297!16s%2Fg%2F11hcf0h9vh!19sChIJhfhIqXXdKDoRfZzUmy1GxvI?authuser=0&hl=en&rclk=1","0x3a28dd75a948f885:0xf2c6462d9bd49c7d",
"MSB RAIPUR HOSTEL ( VAJIHI HOSTEL )",,,"Lodging","6JPM+QPW",,"","{""latitude"":""21.2369771"",""longitude"":""81.6343323""}","https://www.google.com/maps/place/MSB+RAIPUR+HOSTEL+%28+VAJIHI+HOSTEL+%29/data=!4m7!3m6!1s0x3a28dd64388f8723:0xba81be9b7e987b9c!8m2!3d21.2369771!4d81.6343323!16s%2Fg%2F11j7hktqx8!19sChIJI4ePOGTdKDoRnHuYfpu-gbo?authuser=0&hl=en&rclk=1","0x3a28dd64388f8723:0xba81be9b7e987b9c",
"Shivay Excutive P.G. And Girls Hostel","4.0","12","Girl's Hostel","6J8W+F6M","Open 24 hours  083192 01766","","{""latitude"":""21.2162042"",""longitude"":""81.6455536""}","https://www.google.com/maps/place/Shivay+Excutive+P.G.+And+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd6e74dbf037:0xb56d62cf1bb040ab!8m2!3d21.2162042!4d81.6455536!16s%2Fg%2F11g0zww_s5!19sChIJN_DbdG7dKDoRq0CwG89ibbU?authuser=0&hl=en&rclk=1","0x3a28dd6e74dbf037:0xb56d62cf1bb040ab",
"Queen Girls Hostel Raipur","4.8","91","Girl's Hostel","Kalibadi Chwok, Hanuman Colony , Near rising sun school, House No.12/13","Open 24 hours  073895 16249","""Best hostel in all over Raipur""","{""latitude"":""21.232573"",""longitude"":""81.639775""}","https://www.google.com/maps/place/Queen+Girls+Hostel+Raipur/data=!4m7!3m6!1s0x3a28dda5858fbe83:0x2d9578f197b75bd4!8m2!3d21.232573!4d81.639775!16s%2Fg%2F11dzw6mr5f!19sChIJg76PhaXdKDoR1Fu3l_F4lS0?authuser=0&hl=en&rclk=1","0x3a28dda5858fbe83:0x2d9578f197b75bd4",
